13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,CtrToEnd,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,...,11.2,...,...,9.5,...,11,6.5,16,...,0.14
0+1/4,8,...,14.6,...,...,9.5,...,13.5,6.5,16,...,0.24
0+3/8,10,...,18,...,...,9.5,...,15.5,6.5,17.5,...,0.36
0+1/2,15,25.5,22.2,9.35,7.2,9.5,7.47,19,9.5,22.5,11.2,0.58
0+3/4,20,28.5,27.6,9.78,11.8,12.5,7.82,22.5,9.5,24,12.7,0.94
1,25,32,34.3,11.38,16,12.5,9.09,27,12.5,28.5,14.2,1.51
1+1/4,32,35,43.1,12.14,23.5,12.5,9.7,32,12.5,30,14.2,2.4
1+1/2,40,38,49.2,12.7,28.7,12.5,10.15,38,12.5,32,15.7,3.81
2,50,54,61.7,13.84,38.9,16,11.07,41,19,41,19,6.09
2+1/2,65,N/A,74.4,N/A,N/A,16,N/A,N/A,19,43,N/A,
3,80,N/A,90.3,N/A,N/A,16,N/A,N/A,19,44.5,N/A,
4,100,N/A,115.7,N/A,N/A,19,N/A,N/A,19,48,N/A,
