13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,CtrToEnd,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,...,0.44,...,...,0.38,...,0.44,0.25,0.62,...,0.07
0+1/4,8,...,0.575,...,...,0.38,...,0.53,0.25,0.62,...,0.12
0+3/8,10,...,0.71,...,...,0.38,...,0.62,0.25,0.69,...,0.2
0+1/2,15,1,0.875,0.368,0.282,0.38,0.294,0.75,0.38,0.88,0.44,0.31
0+3/4,20,1.12,1.085,0.385,0.464,0.5,0.308,0.88,0.38,0.94,0.5,0.5
1,25,1.25,1.35,0.448,0.629,0.5,0.358,1.06,0.5,1.12,0.56,0.8
1+1/4,32,1.38,1.695,0.478,0.926,0.5,0.382,1.25,0.5,1.19,0.56,1.27
1+1/2,40,1.5,1.935,0.5,1.13,0.5,0.4,1.5,0.5,1.25,0.62,2.02
2,50,2.12,2.426,0.545,1.533,0.62,0.436,1.62,0.75,1.62,0.75,3.23
2+1/2,65,N/A,2.931,N/A,N/A,0.62,N/A,N/A,0.75,1.69,N/A,N/A
3,80,N/A,3.56,N/A,N/A,0.62,N/A,N/A,0.75,1.75,N/A,N/A
4,100,N/A,4.57,N/A,N/A,0.75,N/A,N/A,0.75,1.88,N/A,N/A
