7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21.43125,1.88,1.5,3,0.23
0+3/4,20,26.9875,2,1.5,3,0.36
1,25,34.13125,2.19,1.5,3,0.54
1+1/4,32,42.8625,2.75,1.875,3.75,0.83
1+1/2,40,48.41875,3.25,2.25,4.5,1.25
2,50,60.325,4.19,3,6,1.9
2+1/2,65,76.2,5.19,3.75,7.5,2.89
3,80,88.9,6.25,4.5,9,4.38
3+1/2,90,101.6,7.25,5.25,10.5,6.63
4,100,114.3,8.25,6,12,10.05
5,125,139.7,10.31,7.5,15,15.23
6,150,165.1,12.31,9,18,23.08
8,200,219.075,16.31,12,24,34.98
10,250,273.05,20.38,15,30,62.62
12,300,323.85,24.38,18,36,92.12
14,350,355.6,28,21,42,135
16,400,406.4,32,24,48,178.4
18,450,457.2,36,27,54,279.66
20,500,508,40,30,60,388.62
22,550,558.8,44,33,66,510.4
24,600,609.6,48,36,72,637.42
