6,2,3,4,5,6
nb,nb,od,Ctr to E,M,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21,1,1,0.16
0+3/4,20,27,1.12,1.12,0.2
1,25,33,1.5,1.5,0.29
1+1/4,32,42,1.88,1.88,0.53
1+1/2,40,48,2.25,2.25,0.77
2,50,60,2.5,2.5,1.88
2+1/2,65,73,3,3,2.69
3,80,89,3.38,3.38,3.82
3+1/2,90,102,3.75,3.75,5.18
4,100,114,4.12,4.12,6
5,125,141,4.88,4.88,9.94
6,150,168,5.62,5.62,16.48
8,200,219,7,7,33
10,250,273,8.5,8.5,49.35
12,300,324,10,10,65
14,350,356,11,11,93
16,400,406,12,12,115
18,450,457,13.5,13.5,135
20,500,508,15,15,168
22,550,559,16.5,16.5,200
24,600,610,17,17,240
26,650,660,19.5,19.5,288
28,700,711,20.5,20.5,337
30,750,762,22,22,388.5
32,800,813,23.5,23.5,451
34,850,854,25,25,516
36,900,914,26.5,26.5,587.5
38,950,965,28,28,638
40,1000,1016,29.5,29.5,690
42,1050,1067,30,28,831
44,1100,1118,32,30,899
46,1150,1168,33.5,31.5,1007
48,1200,1219,35,33,1112.5
