7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A
1,25,34.13125,41,25.5,51,0.35
1+1/4,32,42.8625,52,32,64,0.6
1+1/2,40,48.41875,62,38,76,0.8
2,50,60.325,81,51,102,1.4
2+1/2,65,76.2,100,63.5,127,2.6
3,80,88.9,121,76,152,3.8
3+1/2,90,101.6,140,89,178,4.8
4,100,114.3,159,101.5,203,8.2
5,125,139.7,197,127,254,15
6,150,165.1,237,152.5,305,24
8,200,219.075,313,203,406,50
10,250,273.05,391,254,508,90
12,300,323.85,467,305,610,113
