7,2,3,4,5,6,7
NB,NB,OD,N/A,90 ctr to end,WT KG,45 ctr to end
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,N/A,38,0.08,16
0+3/4,20,26.9875,N/A,38,0.08,19
1,25,33.3375,N/A,38,0.15,22
1+1/4,32,42.06875,N/A,48,0.25,25
1+1/2,40,47.625,N/A,57,0.36,29
2,50,60.325,N/A,76,0.65,35
2+1/2,65,73.025,N/A,95,1.28,44
3,80,88.9,N/A,114,2.03,51
3+1/2,90,102.39375,N/A,133,2.87,57
4,100,114.3,N/A,152,3.9,64
5,125,141.2875,N/A,190,6.5,79
6,150,168.275,N/A,229,10.2,95
8,200,219.075,N/A,305,20.3,127
10,250,273.05,N/A,381,37,159
12,300,323.85,N/A,457,54,190
14,350,356.39375,N/A,533,68,222
16,400,405.60625,N/A,610,89.2,254
18,450,457.2,N/A,686,112.9,286
20,500,508,N/A,762,142.4,318
22,550,558.8,N/A,838,178,343
24,600,610.39375,N/A,914,202,381
26,650,600.075,N/A,991,270,406
28,700,711.2,N/A,1067,300,438
30,750,762,N/A,1143,333,470
32,800,812.8,N/A,1219,390,502
34,850,854.075,N/A,1295,430,533
36,900,913.60625,N/A,1372,482,565
38,950,965,N/A,1448,540,600
40,1000,1016,N/A,1524,580,632
42,1050,1066.8,N/A,1600,655,660
44,1100,1118,N/A,1676,726,695
46,1150,1168,N/A,1753,816,727
48,1200,1219.2,N/A,1829,885,759
